name;year;count
Aegidii;2010;633
Überwasser;2010;728
Dom;2010;1107
Buddenturm;2010;986
Martini;2010;694
Altstadt;2010;4148
Pluggendorf;2010;2009
Josef;2010;3975
Bahnhof;2010;632
Hansaplatz;2010;3390
Mauritz-West;2010;2720
Schlachthof;2010;1733
Kreuz;2010;5032
Neutor;2010;1843
Schloss;2010;722
Innenstadtring;2010;22056
Aaseestadt;2010;1495
Geist;2010;2907
Schützenhof;2010;3170
Düesberg;2010;1576
Mitte-Süd;2010;9148
Hafen;2010;537
Herz-Jesu;2010;1812
Mauritz-Mitte;2010;3422
Rumphorst;2010;1836
Uppenberg;2010;2732
Mitte-Nordost;2010;10339
Mitte;2010;45691
Gievenbeck;2010;3964
Sentrup;2010;2239
Mecklenbeck;2010;1811
Albachten;2010;687
Roxel;2010;1663
Nienberge;2010;1367
West;2010;11731
Coerde;2010;1690
Kinderhaus-Ost;2010;1223
Kinderhaus-West;2010;1778
Sprakel;2010;407
Nord;2010;5098
Mauritz-Ost;2010;2288
Gelmer-Dyckburg;2010;521
Handorf;2010;1051
Ost;2010;3860
Gremmendorf-West;2010;870
Gremmendorf-Ost;2010;1115
Angelmodde;2010;1487
Wolbeck;2010;1383
Südost;2010;4855
Berg Fidel;2010;952
Hiltrup-Ost;2010;943
Hiltrup-Mitte;2010;2288
Hiltrup-West;2010;1352
Amelsbüren;2010;645
Hiltrup;2010;6180
Münster;2010;77415
Aegidii;2011;715
Überwasser;2011;838
Dom;2011;1245
Buddenturm;2011;1116
Martini;2011;772
Altstadt;2011;4686
Pluggendorf;2011;2278
Josef;2011;4316
Bahnhof;2011;718
Hansaplatz;2011;3735
Mauritz-West;2011;2970
Schlachthof;2011;1896
Kreuz;2011;5553
Neutor;2011;2232
Schloss;2011;824
Innenstadtring;2011;24522
Aaseestadt;2011;1575
Geist;2011;3169
Schützenhof;2011;3484
Düesberg;2011;1609
Mitte-Süd;2011;9837
Hafen;2011;597
Herz-Jesu;2011;1954
Mauritz-Mitte;2011;3639
Rumphorst;2011;2004
Uppenberg;2011;3104
Mitte-Nordost;2011;11298
Mitte;2011;50343
Gievenbeck;2011;4716
Sentrup;2011;2751
Mecklenbeck;2011;2027
Albachten;2011;726
Roxel;2011;1830
Nienberge;2011;1520
West;2011;13570
Coerde;2011;1797
Kinderhaus-Ost;2011;1274
Kinderhaus-West;2011;1922
Sprakel;2011;394
Nord;2011;5387
Mauritz-Ost;2011;2400
Gelmer-Dyckburg;2011;552
Handorf;2011;1154
Ost;2011;4106
Gremmendorf-West;2011;930
Gremmendorf-Ost;2011;1149
Angelmodde;2011;1536
Wolbeck;2011;1470
Südost;2011;5085
Berg Fidel;2011;1010
Hiltrup-Ost;2011;981
Hiltrup-Mitte;2011;2412
Hiltrup-West;2011;1460
Amelsbüren;2011;673
Hiltrup;2011;6536
Münster;2011;85027
Aegidii;2012;724
Überwasser;2012;804
Dom;2012;1212
Buddenturm;2012;1148
Martini;2012;762
Altstadt;2012;4650
Pluggendorf;2012;2278
Josef;2012;4315
Bahnhof;2012;694
Hansaplatz;2012;3762
Mauritz-West;2012;2975
Schlachthof;2012;1928
