name;year;count
Martini;2014;40
Altstadt;2014;245
Pluggendorf;2014;122
Josef;2014;296
Bahnhof;2014;27
Hansaplatz;2014;238
Mauritz-West;2014;259
Schlachthof;2014;258
Kreuz;2014;515
Neutor;2014;120
Schloss;2014;86
Innenstadtring;2014;1921
Aaseestadt;2014;288
Geist;2014;461
Schützenhof;2014;321
Düesberg;2014;381
Mitte-Süd;2014;1451
Hafen;2014;32
Herz-Jesu;2014;173
Mauritz-Mitte;2014;505
Rumphorst;2014;429
Uppenberg;2014;385
Mitte-Nordost;2014;1524
Mitte;2014;5141
Gievenbeck;2014;981
Sentrup;2014;258
Mecklenbeck;2014;565
Albachten;2014;424
Roxel;2014;543
Nienberge;2014;340
West;2014;3111
Coerde;2014;650
Kinderhaus-Ost;2014;280
Kinderhaus-West;2014;600
Sprakel;2014;193
Nord;2014;1723
Mauritz-Ost;2014;599
Gelmer-Dyckburg;2014;260
Handorf;2014;523
Ost;2014;1382
Gremmendorf-West;2014;274
Gremmendorf-Ost;2014;418
Angelmodde;2014;536
Wolbeck;2014;597
Südost;2014;1825
Berg Fidel;2014;361
Hiltrup-Ost;2014;423
Hiltrup-Mitte;2014;569
Hiltrup-West;2014;627
Amelsbüren;2014;391
Hiltrup;2014;2371
Münster;2014;15553
