name;year;count
Aegidii;2010;193
Überwasser;2010;171
Dom;2010;302
Buddenturm;2010;305
Martini;2010;167
Altstadt;2010;1138
Pluggendorf;2010;589
Josef;2010;1199
Bahnhof;2010;149
Hansaplatz;2010;873
Mauritz-West;2010;831
Schlachthof;2010;649
Kreuz;2010;1682
Neutor;2010;663
Schloss;2010;296
Innenstadtring;2010;6931
Aaseestadt;2010;959
Geist;2010;1330
Schützenhof;2010;1033
Düesberg;2010;1007
Mitte-Süd;2010;4329
Hafen;2010;139
Herz-Jesu;2010;617
Mauritz-Mitte;2010;1605
Rumphorst;2010;1175
Uppenberg;2010;1110
Mitte-Nordost;2010;4646
Mitte;2010;17044
Gievenbeck;2010;2517
Sentrup;2010;885
Mecklenbeck;2010;1360
Albachten;2010;698
Roxel;2010;1128
Nienberge;2010;1002
West;2010;7590
Coerde;2010;1378
Kinderhaus-Ost;2010;752
Kinderhaus-West;2010;1458
Sprakel;2010;423
Nord;2010;4011
Mauritz-Ost;2010;1549
Gelmer-Dyckburg;2010;507
Handorf;2010;1106
Ost;2010;3162
Gremmendorf-West;2010;612
Gremmendorf-Ost;2010;858
Angelmodde;2010;1068
Wolbeck;2010;1284
Südost;2010;3822
Berg Fidel;2010;785
Hiltrup-Ost;2010;1105
Hiltrup-Mitte;2010;1555
Hiltrup-West;2010;1231
Amelsbüren;2010;708
Hiltrup;2010;5384
Münster;2010;41013
Aegidii;2011;203
Überwasser;2011;178
Dom;2011;296
Buddenturm;2011;317
Martini;2011;181
Altstadt;2011;1175
Pluggendorf;2011;630
Josef;2011;1276
Bahnhof;2011;140
Hansaplatz;2011;889
Mauritz-West;2011;868
Schlachthof;2011;684
Kreuz;2011;1768
Neutor;2011;721
Schloss;2011;323
Innenstadtring;2011;7299
Aaseestadt;2011;996
Geist;2011;1343
Schützenhof;2011;1052
Düesberg;2011;1031
Mitte-Süd;2011;4422
Hafen;2011;154
Herz-Jesu;2011;633
Mauritz-Mitte;2011;1633
Rumphorst;2011;1191
Uppenberg;2011;1113
Mitte-Nordost;2011;4724
Mitte;2011;17620
Gievenbeck;2011;2938
Sentrup;2011;929
Mecklenbeck;2011;1412
Albachten;2011;726
Roxel;2011;1173
Nienberge;2011;1031
West;2011;8209
Coerde;2011;1419
Kinderhaus-Ost;2011;755
Kinderhaus-West;2011;1575
Sprakel;2011;432
Nord;2011;4181
Mauritz-Ost;2011;1627
Gelmer-Dyckburg;2011;504
Handorf;2011;1125
Ost;2011;3256
Gremmendorf-West;2011;638
Gremmendorf-Ost;2011;882
Angelmodde;2011;1104
Wolbeck;2011;1296
Südost;2011;3920
Berg Fidel;2011;816
Hiltrup-Ost;2011;1135
Hiltrup-Mitte;2011;1558
Hiltrup-West;2011;1298
Amelsbüren;2011;741
Hiltrup;2011;5548
Münster;2011;42734
Aegidii;2012;196
Überwasser;2012;192
Dom;2012;293
Buddenturm;2012;292
Martini;2012;203
Altstadt;2012;1176
Pluggendorf;2012;636
Josef;2012;1257
Bahnhof;2012;145
Hansaplatz;2012;878
Mauritz-West;2012;854
Schlachthof;2012;699
Kreuz;2012;1837
Neutor;2012;699
Schloss;2012;306
Innenstadtring;2012;7311
Aaseestadt;2012;991
Geist;2012;1358
Schützenhof;2012;1099
Düesberg;2012;1021
Mitte-Süd;2012;4469
Hafen;2012;149
Herz-Jesu;2012;623
Mauritz-Mitte;2012;1586
Rumphorst;2012;1210
Uppenberg;2012;1134
Mitte-Nordost;2012;4702
Mitte;2012;17658
Gievenbeck;2012;3023
Sentrup;2012;1003
Mecklenbeck;2012;1190
Albachten;2012;769
Roxel;2012;1177
Nienberge;2012;1053
West;2012;8215
Coerde;2012;1436
Kinderhaus-Ost;2012;761
Kinderhaus-West;2012;1597
Sprakel;2012;431
Nord;2012;4225
Mauritz-Ost;2012;1664
Gelmer-Dyckburg;2012;513
Handorf;2012;1164
Ost;2012;3341
Gremmendorf-West;2012;666
Gremmendorf-Ost;2012;907
Angelmodde;2012;1115
Wolbeck;2012;1326
Südost;2012;4014
Berg Fidel;2012;843
Hiltrup-Ost;2012;1138
Hiltrup-Mitte;2012;1580
Hiltrup-West;2012;1329
Amelsbüren;2012;755
Hiltrup;2012;5645
Münster;2012;43098
Aegidii;2013;202
Überwasser;2013;186
Dom;2013;305
Buddenturm;2013;289
Martini;2013;197
Altstadt;2013;1179
Pluggendorf;2013;661
Josef;2013;1333
Bahnhof;2013;161
Hansaplatz;2013;882
Mauritz-West;2013;851
Schlachthof;2013;729
Kreuz;2013;1808
Neutor;2013;685
Schloss;2013;317
Innenstadtring;2013;7427
Aaseestadt;2013;983
Geist;2013;1321
Schützenhof;2013;1057
Düesberg;2013;1023
Mitte-Süd;2013;4384
Hafen;2013;156
Herz-Jesu;2013;643
Mauritz-Mitte;2013;1589
Rumphorst;2013;1248
Uppenberg;2013;1142
Mitte-Nordost;2013;4778
Mitte;2013;17768
Gievenbeck;2013;3128
Sentrup;2013;1017
Mecklenbeck;2013;1239
Albachten;2013;796
Roxel;2013;1213
Nienberge;2013;1060
West;2013;8453
Coerde;2013;1441
Kinderhaus-Ost;2013;777
Kinderhaus-West;2013;1607
Sprakel;2013;440
Nord;2013;4265
Mauritz-Ost;2013;1675
Gelmer-Dyckburg;2013;524
Handorf;2013;1168
Ost;2013;3367
Gremmendorf-West;2013;702
Gremmendorf-Ost;2013;925
Angelmodde;2013;1170
Wolbeck;2013;1385
Südost;2013;4182
Berg Fidel;2013;835
Hiltrup-Ost;2013;1145
Hiltrup-Mitte;2013;1578
Hiltrup-West;2013;1363
Amelsbüren;2013;728
Hiltrup;2013;5649
Münster;2013;43684
Aegidii;2014;199
Überwasser;2014;183
Dom;2014;289
Buddenturm;2014;299
Martini;2014;198
Altstadt;2014;1168
Pluggendorf;2014;657
Josef;2014;1348
Bahnhof;2014;174
Hansaplatz;2014;888
Mauritz-West;2014;879
Schlachthof;2014;739
Kreuz;2014;1801
Neutor;2014;684
Schloss;2014;330
Innenstadtring;2014;7500
Aaseestadt;2014;958
Geist;2014;1363
Schützenhof;2014;1071
Düesberg;2014;1017
Mitte-Süd;2014;4409
Hafen;2014;136
Herz-Jesu;2014;643
Mauritz-Mitte;2014;1555
Rumphorst;2014;1263
Uppenberg;2014;1164
Mitte-Nordost;2014;4761
Mitte;2014;17838
Gievenbeck;2014;3101
Sentrup;2014;1023
Mecklenbeck;2014;1375
Albachten;2014;804
Roxel;2014;1205
Nienberge;2014;1046
West;2014;8554
Coerde;2014;1456
Kinderhaus-Ost;2014;758
Kinderhaus-West;2014;1631
Sprakel;2014;449
Nord;2014;4294
Mauritz-Ost;2014;1654
Gelmer-Dyckburg;2014;532
Handorf;2014;1183
Ost;2014;3369
Gremmendorf-West;2014;712
Gremmendorf-Ost;2014;941
Angelmodde;2014;1168
Wolbeck;2014;1397
Südost;2014;4218
Berg Fidel;2014;826
Hiltrup-Ost;2014;1141
Hiltrup-Mitte;2014;1593
Hiltrup-West;2014;1390
Amelsbüren;2014;745
Hiltrup;2014;5695
Münster;2014;43968
