name;year;count
Aegidii;2010;22
Überwasser;2010;13
Dom;2010;28
Buddenturm;2010;36
Martini;2010;14
Altstadt;2010;113
Pluggendorf;2010;56
Josef;2010;131
Bahnhof;2010;11
Hansaplatz;2010;114
Mauritz-West;2010;137
Schlachthof;2010;170
Kreuz;2010;338
Neutor;2010;60
Schloss;2010;58
Innenstadtring;2010;1075
Aaseestadt;2010;188
Geist;2010;300
Schützenhof;2010;128
Düesberg;2010;323
Mitte-Süd;2010;939
Hafen;2010;9
Herz-Jesu;2010;118
Mauritz-Mitte;2010;306
Rumphorst;2010;382
Uppenberg;2010;292
Mitte-Nordost;2010;1107
Mitte;2010;3234
Gievenbeck;2010;1016
Sentrup;2010;224
Mecklenbeck;2010;478
Albachten;2010;379
Roxel;2010;428
Nienberge;2010;314
West;2010;2839
Coerde;2010;449
Kinderhaus-Ost;2010;222
Kinderhaus-West;2010;483
Sprakel;2010;170
Nord;2010;1324
Mauritz-Ost;2010;439
Gelmer-Dyckburg;2010;197
Handorf;2010;407
Ost;2010;1043
Gremmendorf-West;2010;274
Gremmendorf-Ost;2010;404
Angelmodde;2010;343
Wolbeck;2010;467
Südost;2010;1488
Berg Fidel;2010;255
Hiltrup-Ost;2010;331
Hiltrup-Mitte;2010;386
Hiltrup-West;2010;552
Amelsbüren;2010;397
Hiltrup;2010;1921
Münster;2010;11849
Aegidii;2011;22
Überwasser;2011;15
Dom;2011;24
Buddenturm;2011;30
Martini;2011;15
Altstadt;2011;106
Pluggendorf;2011;56
Josef;2011;120
Bahnhof;2011;11
Hansaplatz;2011;105
Mauritz-West;2011;122
Schlachthof;2011;185
Kreuz;2011;324
Neutor;2011;64
Schloss;2011;50
Innenstadtring;2011;1037
Aaseestadt;2011;194
Geist;2011;299
Schützenhof;2011;143
Düesberg;2011;329
Mitte-Süd;2011;965
Hafen;2011;13
Herz-Jesu;2011;120
Mauritz-Mitte;2011;291
Rumphorst;2011;364
Uppenberg;2011;300
Mitte-Nordost;2011;1088
Mitte;2011;3196
Gievenbeck;2011;1034
Sentrup;2011;251
Mecklenbeck;2011;465
Albachten;2011;386
Roxel;2011;430
Nienberge;2011;317
West;2011;2883
Coerde;2011;466
Kinderhaus-Ost;2011;202
Kinderhaus-West;2011;475
Sprakel;2011;169
Nord;2011;1312
Mauritz-Ost;2011;450
Gelmer-Dyckburg;2011;201
Handorf;2011;409
Ost;2011;1060
Gremmendorf-West;2011;253
Gremmendorf-Ost;2011;401
Angelmodde;2011;349
Wolbeck;2011;473
Südost;2011;1476
Berg Fidel;2011;243
Hiltrup-Ost;2011;315
Hiltrup-Mitte;2011;395
Hiltrup-West;2011;548
Amelsbüren;2011;372
Hiltrup;2011;1873
Münster;2011;11800
Aegidii;2012;24
Überwasser;2012;18
Dom;2012;31
Buddenturm;2012;34
Martini;2012;15
Altstadt;2012;122
Pluggendorf;2012;48
Josef;2012;123
Bahnhof;2012;10
Hansaplatz;2012;100
Mauritz-West;2012;132
Schlachthof;2012;184
Kreuz;2012;332
Neutor;2012;68
Schloss;2012;54
Innenstadtring;2012;1051
Aaseestadt;2012;184
Geist;2012;275
Schützenhof;2012;139
Düesberg;2012;330
Mitte-Süd;2012;928
Hafen;2012;11
Herz-Jesu;2012;104
Mauritz-Mitte;2012;305
Rumphorst;2012;359
Uppenberg;2012;288
Mitte-Nordost;2012;1067
Mitte;2012;3168
Gievenbeck;2012;1034
Sentrup;2012;258
Mecklenbeck;2012;450
Albachten;2012;388
Roxel;2012;434
Nienberge;2012;292
West;2012;2856
Coerde;2012;485
Kinderhaus-Ost;2012;204
Kinderhaus-West;2012;460
Sprakel;2012;163
Nord;2012;1312
Mauritz-Ost;2012;472
Gelmer-Dyckburg;2012;193
Handorf;2012;435
Ost;2012;1100
Gremmendorf-West;2012;251
Gremmendorf-Ost;2012;395
Angelmodde;2012;337
Wolbeck;2012;455
Südost;2012;1438
Berg Fidel;2012;227
Hiltrup-Ost;2012;289
Hiltrup-Mitte;2012;366
Hiltrup-West;2012;540
Amelsbüren;2012;383
Hiltrup;2012;1805
Münster;2012;11679
Aegidii;2013;25
Überwasser;2013;15
Dom;2013;30
Buddenturm;2013;30
Martini;2013;21
Altstadt;2013;121
Pluggendorf;2013;43
Josef;2013;128
Bahnhof;2013;15
Hansaplatz;2013;106
Mauritz-West;2013;125
Schlachthof;2013;184
Kreuz;2013;320
Neutor;2013;64
Schloss;2013;57
Innenstadtring;2013;1042
Aaseestadt;2013;193
Geist;2013;277
Schützenhof;2013;150
Düesberg;2013;320
Mitte-Süd;2013;940
Hafen;2013;15
Herz-Jesu;2013;108
Mauritz-Mitte;2013;315
Rumphorst;2013;356
Uppenberg;2013;283
Mitte-Nordost;2013;1077
Mitte;2013;3180
Gievenbeck;2013;990
Sentrup;2013;248
Mecklenbeck;2013;436
Albachten;2013;403
Roxel;2013;471
Nienberge;2013;302
West;2013;2850
Coerde;2013;480
Kinderhaus-Ost;2013;206
Kinderhaus-West;2013;439
Sprakel;2013;161
Nord;2013;1286
Mauritz-Ost;2013;479
Gelmer-Dyckburg;2013;208
Handorf;2013;421
Ost;2013;1108
Gremmendorf-West;2013;256
Gremmendorf-Ost;2013;384
Angelmodde;2013;323
Wolbeck;2013;447
Südost;2013;1410
Berg Fidel;2013;249
Hiltrup-Ost;2013;293
Hiltrup-Mitte;2013;358
Hiltrup-West;2013;549
Amelsbüren;2013;389
Hiltrup;2013;1838
Münster;2013;11672
Aegidii;2014;25
Überwasser;2014;17
Dom;2014;27
Buddenturm;2014;32
Martini;2014;20
Altstadt;2014;121
Pluggendorf;2014;49
Josef;2014;127
Bahnhof;2014;13
Hansaplatz;2014;109
Mauritz-West;2014;138
Schlachthof;2014;167
Kreuz;2014;314
Neutor;2014;80
Schloss;2014;53
Innenstadtring;2014;1050
Aaseestadt;2014;184
Geist;2014;279
Schützenhof;2014;155
Düesberg;2014;327
Mitte-Süd;2014;945
Hafen;2014;14
Herz-Jesu;2014;102
Mauritz-Mitte;2014;319
Rumphorst;2014;362
Uppenberg;2014;290
Mitte-Nordost;2014;1087
Mitte;2014;3203
Gievenbeck;2014;994
Sentrup;2014;249
Mecklenbeck;2014;417
Albachten;2014;400
Roxel;2014;484
Nienberge;2014;304
West;2014;2848
Coerde;2014;464
Kinderhaus-Ost;2014;210
Kinderhaus-West;2014;441
Sprakel;2014;165
Nord;2014;1280
Mauritz-Ost;2014;477
Gelmer-Dyckburg;2014;209
Handorf;2014;421
Ost;2014;1107
Gremmendorf-West;2014;253
Gremmendorf-Ost;2014;356
Angelmodde;2014;326
Wolbeck;2014;449
Südost;2014;1384
Berg Fidel;2014;244
Hiltrup-Ost;2014;296
Hiltrup-Mitte;2014;358
Hiltrup-West;2014;543
Amelsbüren;2014;383
Hiltrup;2014;1824
Münster;2014;11646
