name;year;count
Josef;2014;95
Bahnhof;2014;7
Hansaplatz;2014;82
Mauritz-West;2014;93
Schlachthof;2014;107
Kreuz;2014;166
Neutor;2014;48
Schloss;2014;20
Innenstadtring;2014;659
Aaseestadt;2014;110
Geist;2014;225
Schützenhof;2014;154
Düesberg;2014;108
Mitte-Süd;2014;597
Hafen;2014;10
Herz-Jesu;2014;73
Mauritz-Mitte;2014;168
Rumphorst;2014;185
Uppenberg;2014;198
Mitte-Nordost;2014;634
Mitte;2014;1966
Gievenbeck;2014;417
Sentrup;2014;85
Mecklenbeck;2014;162
Albachten;2014;103
Roxel;2014;163
Nienberge;2014;84
West;2014;1014
Coerde;2014;427
Kinderhaus-Ost;2014;130
Kinderhaus-West;2014;297
Sprakel;2014;57
Nord;2014;911
Mauritz-Ost;2014;159
Gelmer-Dyckburg;2014;55
Handorf;2014;145
Ost;2014;359
Gremmendorf-West;2014;112
Gremmendorf-Ost;2014;140
Angelmodde;2014;216
Wolbeck;2014;202
Südost;2014;670
Berg Fidel;2014;183
Hiltrup-Ost;2014;98
Hiltrup-Mitte;2014;286
Hiltrup-West;2014;212
Amelsbüren;2014;114
Hiltrup;2014;893
Münster;2014;5813
